units, mpi.impl,  scenario,   copy.type,  src.u, dest.u, init.u, repeats,  block.n, block.kb, init.s,  copy.s, copy.min.us, copy.med.us, copy.max.us, copy.sdv.us, time.s,     mb/s
    8, intelmpi,     local,   std::copy,      6,      6,      2,  524288,       64,        0,   3.86, 0.06250,        0.00,        0.00,       18.00,        0.33,   6.82,  4095.93
    8, intelmpi,     local,   std::copy,      6,      6,      2,  131072,      256,        2,   1.65, 0.02132,        0.00,        0.00,       21.00,        0.37,   2.40, 12008.07
    8, intelmpi,     local,   std::copy,      6,      6,      2,   32768,     1024,        8,   1.06, 0.01462,        0.00,        0.00,       17.00,        0.51,   1.25, 17507.86
    8, intelmpi,     local,   std::copy,      6,      6,      2,    8192,     4096,       32,   0.95, 0.01871,        2.00,        2.00,       20.00,        0.53,   1.01, 13678.87
    8, intelmpi,     local,   std::copy,      6,      6,      2,    2048,    16384,      128,   0.89, 0.01990,        9.00,       10.00,       27.00,        0.80,   0.92, 12864.97
    8, intelmpi,     local,   std::copy,      6,      6,      2,     512,    65536,      512,   0.89, 0.02769,       52.00,       54.00,       72.00,        1.88,   0.92,  9244.88
    8, intelmpi,     local,   std::copy,      6,      6,      2,     128,   262144,     2048,   0.88, 0.03025,      230.00,      237.00,      358.00,       11.67,   0.92,  8463.65
    8, intelmpi,     local,   std::copy,      6,      6,      2,      32,  1048576,     8192,   0.89, 0.05045,     1460.00,     1500.00,     4078.00,      449.73,   0.95,  5073.83
    8, intelmpi,     local,  dash::copy,      6,      6,      2,  524288,       64,        0,   3.88, 0.79099,        1.00,        2.00,       28.00,        0.55,   7.40,   323.64
    8, intelmpi,     local,  dash::copy,      6,      6,      2,  131072,      256,        2,   1.62, 0.21263,        1.00,        2.00,       21.00,        0.53,   2.52,  1203.96
    8, intelmpi,     local,  dash::copy,      6,      6,      2,   32768,     1024,        8,   1.06, 0.06907,        2.00,        2.00,       19.00,        0.37,   1.30,  3706.60
    8, intelmpi,     local,  dash::copy,      6,      6,      2,    8192,     4096,       32,   0.94, 0.03058,        3.00,        4.00,       21.00,        0.57,   1.01,  8370.12
    8, intelmpi,     local,  dash::copy,      6,      6,      2,    2048,    16384,      128,   0.94, 0.02461,       11.00,       12.00,       30.00,        0.76,   0.97, 10402.70
    8, intelmpi,     local,  dash::copy,      6,      6,      2,     512,    65536,      512,   0.89, 0.02952,       55.00,       57.00,      107.00,        2.64,   0.92,  8671.50
    8, intelmpi,     local,  dash::copy,      6,      6,      2,     128,   262144,     2048,   0.88, 0.03067,      234.00,      241.00,      332.00,        9.15,   0.92,  8347.74
    8, intelmpi,     local,  dash::copy,      6,      6,      2,      32,  1048576,     8192,   0.89, 0.04952,     1501.00,     1552.00,     1635.00,       26.20,   0.95,  5169.73
    8, intelmpi,  socket.b,  dash::copy,      6,      4,      0,  524288,       64,        0,   3.95, 1.00196,        1.00,        2.00,       24.00,        0.37,   7.62,   255.50
    8, intelmpi,  socket.b,  dash::copy,      6,      4,      0,  131072,      256,        2,   1.64, 0.29679,        2.00,        2.00,       21.00,        0.53,   2.60,   862.56
    8, intelmpi,  socket.b,  dash::copy,      6,      4,      0,   32768,     1024,        8,   1.07, 0.10793,        3.00,        3.00,       21.00,        0.55,   1.34,  2372.00
    8, intelmpi,  socket.b,  dash::copy,      6,      4,      0,    8192,     4096,       32,   0.93, 0.06354,        7.00,        8.00,       26.00,        0.68,   1.04,  4029.02
    8, intelmpi,  socket.b,  dash::copy,      6,      4,      0,    2048,    16384,      128,   0.90, 0.05636,       26.00,       27.00,       66.00,        1.52,   0.97,  4542.39
    8, intelmpi,  socket.b,  dash::copy,      6,      4,      0,     512,    65536,      512,   0.92, 0.05319,       99.00,      104.00,      252.00,        7.22,   0.97,  4812.75
    8, intelmpi,  socket.b,  dash::copy,      6,      4,      0,     128,   262144,     2048,   0.91, 0.05028,      375.00,      392.00,     1102.00,       63.41,   0.96,  5091.99
    8, intelmpi,  socket.b,  dash::copy,      6,      4,      0,      32,  1048576,     8192,   0.90, 0.08325,     2402.00,     2487.00,     6590.00,      717.71,   0.99,  3075.00
    8, intelmpi, rmt.async,  dash::copy,      6,      2,      4,  524288,       64,        0,   3.98, 2.11937,        3.00,        4.00,       35.00,        0.43,   8.92,   120.79
    8, intelmpi, rmt.async,  dash::copy,      6,      2,      4,  131072,      256,        2,   1.63, 0.58564,        4.00,        4.00,       27.00,        0.64,   2.93,   437.13
    8, intelmpi, rmt.async,  dash::copy,      6,      2,      4,   32768,     1024,        8,   1.07, 0.19536,        5.00,        6.00,       28.00,        0.64,   1.44,  1310.40
    8, intelmpi, rmt.async,  dash::copy,      6,      2,      4,    8192,     4096,       32,   0.93, 0.09736,       11.00,       12.00,       32.00,        0.89,   1.08,  2629.47
    8, intelmpi, rmt.async,  dash::copy,      6,      2,      4,    2048,    16384,      128,   0.90, 0.07519,       35.00,       36.00,       90.00,        2.18,   0.99,  3404.89
    8, intelmpi, rmt.async,  dash::copy,      6,      2,      4,     512,    65536,      512,   0.94, 0.06599,      124.00,      128.00,      356.00,       10.48,   1.01,  3879.38
    8, intelmpi, rmt.async,  dash::copy,      6,      2,      4,     128,   262144,     2048,   0.92, 0.06327,      474.00,      486.00,     1382.00,       79.26,   0.98,  4046.41
    8, intelmpi, rmt.async,  dash::copy,      6,      2,      4,      32,  1048576,     8192,   0.90, 0.09900,     2886.00,     2979.00,     7348.00,      765.10,   1.01,  2585.94
